Timestamp,agerange,gender,location,timezone,country,foreignaffairs,politics,education,climate,health,immigration,animalrights,allergy,eatertype,diet,mealplanner,eatingoccasions,fruitveg,meat,fishseafood,grains,endeatingtime,permission,feedback
2019/11/02 2:02:18 PM MDT,18-29,Female,Suburban,Eastern,USA,2,2,4,5,5,2,2,Dairy,None of  these,No Special Diet,"Yes, I am the main meal planner",4,2,1,0,4,10 PM or Later,Yes,
2019/11/02 5:43:55 PM MDT,18-29,Male,Urban,Pacific,USA,2,3,3,4,2,3,2,None,Meat Eater,No Special Diet,"Yes, I am the main meal planner",3,1,2,0,2,7:00 PM,Yes,For dietary restrictions and allergy sections I would consider moving the none option to the bottom so it is easier to find
2019/11/02 7:12:32 PM MDT,18-29,Female,Suburban,Pacific,USA,4,3,5,5,5,5,4,None,Meat Eater,No Special Diet,"Yes, I am the main meal planner",3,2,2,1,3,7:00 PM,Yes,
2019/11/02 8:33:40 PM MDT,18-29,Female,Urban,Pacific,USA,5,5,5,5,5,5,4,Nuts;Other,Meat Eater,No Special Diet,Shared responsibility for meal planning in my household,6,2,1,1,3,9:00 PM,Yes,"“Please give each topic a rating from 1 (least important) to 5 (most important).” I found this statement to be a bit misleading, as it almost implied that I could only pick one of the options to be most important - but I understood the general gist. Also, entering my phone number as xxxxxxxxxx should work instead of only as xxx-xxx-xxxx."
2019/11/03 8:29:07 AM MST,50-59,Female,Urban,Central,USA,4,4,5,4,5,4,5,None,Meat Eater,No Special Diet,"Yes, I am the main meal planner",5,4,2,1,4,9:00 PM,Yes,
2019/11/03 8:37:36 AM MST,50-59,Male,Rural,Central,USA,4,3,5,4,4,3,5,Dairy,Meat Eater,"Other Low Carbohydrate Diets (The Zone, Paleo, others)",Shared responsibility for meal planning in my household,4,3,2,0,1,7:00 PM,Yes,
2019/11/03 9:34:55 AM MST,30-39,Male,Urban,Eastern,USA,4,3,5,5,4,4,3,None,None of  these,No Special Diet,Shared responsibility for meal planning in my household,5,4,1,1,2,7:00 PM,Yes,Seems pretty straightforward! Could zoom out a little to week view not just day.
2019/11/03 12:27:22 PM MST,30-39,Female,Suburban,Eastern,USA,3,4,5,3,5,3,4,None,Meat Eater,No Special Diet,Shared responsibility for meal planning in my household,4,2,1,1,3,9:00 PM,Yes,
2019/11/03 2:03:17 PM MST,50-59,Female,Urban,Mountain,Canada,4,4,5,5,5,4,3,None,None of  these,Intermittent Fasting,Shared responsibility for meal planning in my household,5,3,1,1,2,8:00 PM,Yes,Looking good!  Interested in seeing what the survey will tell.
2019/11/03 2:49:18 PM MST,18-29,Female,Urban,Eastern,USA,5,4,5,5,5,4,2,None,None of  these,No Special Diet,Not relevant to me,4,3,3,1,3,8:00 PM,Yes,Interesting!
2019/11/03 3:27:51 PM MST,50-59,Female,Urban,Mountain,Canada,3,2,4,3,4,3,4,None,Meat Eater,"Ketogenic (Dukan, Atkins, Generalized Keto)","Yes, I am the main meal planner",4,2,3,1,1,8:00 PM,Yes,Interesting questions...
2019/11/04 11:34:29 AM MST,50-59,Female,Urban,Mountain,Canada,4,4,5,5,5,4,4,None,Meat Eater,No Special Diet,Shared responsibility for meal planning in my household,5,5,1,1,2,8:00 PM,Yes,Good survey! 
