ParticipantId,TimeZone,Country,TreatmentLevel,TreatmentNum,TreatmentSent,TreatmentReceived,MeasureNum,MeasureSent,MeasureReceived,TotalNumEO,NumPreparedEO,NumMeatEO,NumFruitVegEO,BlockNo
6154B5C7-B857-456B-B23C-9BDD550590ED,Pacific,USA,Control,NULL,NULL,NULL,1,1,1,4,1,1,1,2
6154B5C7-B857-456B-B23C-9BDD550590ED,Pacific,USA,Control,NULL,NULL,NULL,2,1,1,3,2,1,1,2
6154B5C7-B857-456B-B23C-9BDD550590ED,Pacific,USA,Control,NULL,NULL,NULL,3,1,0,-1,-1,-1,-1,2
5DC575E1-D8D0-47A4-88BA-CD1AAC9282B4,Pacific,USA,Control,NULL,NULL,NULL,1,1,1,2,0,2,1,3
5DC575E1-D8D0-47A4-88BA-CD1AAC9282B4,Pacific,USA,Control,NULL,NULL,NULL,2,1,1,3,0,2,1,3
5DC575E1-D8D0-47A4-88BA-CD1AAC9282B4,Pacific,USA,Control,NULL,NULL,NULL,3,1,1,3,0,1,2,3
D106449C-B942-486B-8490-D280253FB1DF,Eastern,USA,Control,NULL,NULL,NULL,1,1,1,3,1,1,1,1
D106449C-B942-486B-8490-D280253FB1DF,Eastern,USA,Control,NULL,NULL,NULL,2,1,1,2,0,0,1,1
D106449C-B942-486B-8490-D280253FB1DF,Eastern,USA,Control,NULL,NULL,NULL,3,1,1,4,1,2,1,1
246A8EAE-AF10-47BB-B9B4-1ED73A69CAE0,Central,USA,Reminder,NULL,NULL,NULL,1,1,1,6,4,2,4,2
246A8EAE-AF10-47BB-B9B4-1ED73A69CAE0,Central,USA,Reminder,1,1,0,2,1,1,4,3,2,4,2
246A8EAE-AF10-47BB-B9B4-1ED73A69CAE0,Central,USA,Reminder,2,1,0,3,1,1,5,3,3,3,2
8C312AA4-8040-4B5A-A466-B1762FF55BA5,Eastern,USA,Reminder,NULL,NULL,NULL,1,1,1,4,2,0,3,3
8C312AA4-8040-4B5A-A466-B1762FF55BA5,Eastern,USA,Reminder,1,1,1,2,1,1,3,1,1,3,3
8C312AA4-8040-4B5A-A466-B1762FF55BA5,Eastern,USA,Reminder,2,1,1,3,1,1,4,4,1,1,3
3363A756-9761-4B6D-9627-FC3F1F31A8C7,Eastern,USA,Reminder,NULL,NULL,NULL,1,1,1,4,3,0,2,1
3363A756-9761-4B6D-9627-FC3F1F31A8C7,Eastern,USA,Reminder,1,1,1,2,1,1,4,3,1,2,1
3363A756-9761-4B6D-9627-FC3F1F31A8C7,Eastern,USA,Reminder,2,1,1,3,1,1,3,3,1,2,1
057F6972-C390-448B-A8DC-112E3D94069C,Pacific,USA,Recipe,NULL,NULL,NULL,1,1,1,4,0,3,3,3
057F6972-C390-448B-A8DC-112E3D94069C,Pacific,USA,Recipe,1,1,1,2,1,1,3,2,2,1,3
057F6972-C390-448B-A8DC-112E3D94069C,Pacific,USA,Recipe,2,1,1,3,1,1,2,1,2,2,3
1869F4A1-8B8C-42E1-B847-D04EA7FA7593,Mountain,Canada,Recipe,NULL,NULL,NULL,1,1,1,4,3,1,3,2
1869F4A1-8B8C-42E1-B847-D04EA7FA7593,Mountain,Canada,Recipe,1,1,1,2,1,1,4,3,2,3,2
1869F4A1-8B8C-42E1-B847-D04EA7FA7593,Mountain,Canada,Recipe,2,1,1,3,1,1,3,1,1,2,2
0995B88D-367B-4634-8B75-D5F76E528F5C,Mountain,Canada,Recipe,NULL,NULL,NULL,1,1,1,2,1,1,2,1
0995B88D-367B-4634-8B75-D5F76E528F5C,Mountain,Canada,Recipe,1,1,1,2,1,1,3,3,0,3,1
0995B88D-367B-4634-8B75-D5F76E528F5C,Mountain,Canada,Recipe,2,1,1,3,1,0,-1,-1,-1,-1,1
154AF184-6D86-4B7E-965A-DF65897A369C,Mountain,Canada,EXCLUDED,NULL,NULL,NULL,1,1,1,4,2,4,1,
154AF184-6D86-4B7E-965A-DF65897A369C,Mountain,Canada,EXCLUDED,NULL,NULL,NULL,2,1,1,2,2,1,1,
154AF184-6D86-4B7E-965A-DF65897A369C,Mountain,Canada,EXCLUDED,NULL,NULL,NULL,3,1,1,3,3,3,2,
7C2FDD16-51FB-4982-BE9F-F2DE6CE0E3AB,Eastern,USA,EXCLUDED,NULL,NULL,NULL,1,1,0,-1,-1,-1,-1,
7C2FDD16-51FB-4982-BE9F-F2DE6CE0E3AB,Eastern,USA,EXCLUDED,NULL,NULL,NULL,2,1,1,3,1,2,2,
7C2FDD16-51FB-4982-BE9F-F2DE6CE0E3AB,Eastern,USA,EXCLUDED,NULL,NULL,NULL,3,1,1,2,1,1,1,
DA94C772-700E-44E6-8096-0AA86D45A898,Central,USA,EXCLUDED,NULL,NULL,NULL,1,1,0,-1,-1,-1,-1,
DA94C772-700E-44E6-8096-0AA86D45A898,Central,USA,EXCLUDED,NULL,NULL,NULL,2,1,1,3,0,2,3,
DA94C772-700E-44E6-8096-0AA86D45A898,Central,USA,EXCLUDED,NULL,NULL,NULL,3,1,1,3,3,1,1,
